feature	r
Neurosynth_TFIDF__cingulate cortices	0.0868402622177833
Neurosynth_TFIDF__24	0.0867285692030198
Neurosynth_TFIDF__listened	0.0865656296712893
Neurosynth_TFIDF__enable	0.0862250776963075
Neurosynth_TFIDF__task required	0.0861843658455549
Neurosynth_TFIDF__temporoparietal	0.0861409779397665
Neurosynth_TFIDF__view	0.0860505732156647
Neurosynth_TFIDF__included	0.0857564041609306
Neurosynth_TFIDF__association	0.0856730868702478
Neurosynth_TFIDF__compatible	0.0856499896480456
Neurosynth_TFIDF__distinguish	0.0853371052089288
Neurosynth_TFIDF__constitute	0.0851880864467117
Neurosynth_TFIDF__volumes	0.0851722351594727
Neurosynth_TFIDF__injury	0.0850764686048458
Neurosynth_TFIDF__cortex frontal	0.0848653705249456
Neurosynth_TFIDF__subserving	0.0845346478389798
Neurosynth_TFIDF__flexibly	0.0843778249261223
Neurosynth_TFIDF__foci	0.0842156058345091
Neurosynth_TFIDF__level	0.0841325651009705
Neurosynth_TFIDF__prominent	0.0840256878239057
Neurosynth_TFIDF__mid	0.0839626600359206
Neurosynth_TFIDF__play important	0.0839023219371022
Neurosynth_TFIDF__generation	0.0838616281128595
Neurosynth_TFIDF__posterior	0.0837307315724509
Neurosynth_TFIDF__psychophysiological interaction	0.0833611095444104
Neurosynth_TFIDF__psychophysiological	0.0833611095444104
Neurosynth_TFIDF__cognitive function	0.0833342395247184
Neurosynth_TFIDF__suggesting	0.0832971483627395
Neurosynth_TFIDF__cortex parietal	0.0828343408851731
Neurosynth_TFIDF__hierarchical	0.082800077656344
Neurosynth_TFIDF__mild	0.0823098107080281
Neurosynth_TFIDF__verbal working	0.0821967490620577
Neurosynth_TFIDF__silent	0.0821295889908694
Neurosynth_TFIDF__negative feedback	0.0820984108892711
Neurosynth_TFIDF__cortical involved	0.0820797403598104
Neurosynth_TFIDF__guided	0.0819378673720995
Neurosynth_TFIDF__network involved	0.0818432978582474
Neurosynth_TFIDF__psychophysical	0.0816940261567943
Neurosynth_TFIDF__resolution	0.0816920472870134
Neurosynth_TFIDF__broader	0.0815615428436623
Neurosynth_TFIDF__fourteen	0.0814124105552086
Neurosynth_TFIDF__supramarginal	0.0812327910375571
Neurosynth_TFIDF__served	0.0811786756295143
Neurosynth_TFIDF__called	0.0811684205816985
Neurosynth_TFIDF__events	0.0810792249670393
Neurosynth_TFIDF__striatum	0.0810661721979404
Neurosynth_TFIDF__maintenance	0.0808969015689311
Neurosynth_TFIDF__shifting	0.0807677465928615
Neurosynth_TFIDF__detecting	0.080671399129144
Neurosynth_TFIDF__isolate	0.0806709836196567
Neurosynth_TFIDF__healthy controls	0.0805633182223317
Neurosynth_TFIDF__slow	0.0804693598563725
Neurosynth_TFIDF__dimension	0.0804349590363211
Neurosynth_TFIDF__time courses	0.0803689195571029
Neurosynth_TFIDF__courses	0.0803689195571029
Neurosynth_TFIDF__control conditions	0.0803569098013268
Neurosynth_TFIDF__streams	0.0803451347037336
Neurosynth_TFIDF__temporale	0.0802560709826278
Neurosynth_TFIDF__planum temporale	0.0802560709826278
Neurosynth_TFIDF__planum	0.0802560709826278
Neurosynth_TFIDF__manipulation	0.0802388596628098
Neurosynth_TFIDF__contrast	0.0802186937677683
Neurosynth_TFIDF__documented	0.0801955497549114
Neurosynth_TFIDF__portion	0.0800023214788931
Neurosynth_TFIDF__alterations	0.0798008900482071
Neurosynth_TFIDF__motor sma	0.079592117818003
Neurosynth_TFIDF__static	0.0793991060802067
Neurosynth_TFIDF__cingulate cortex	0.0793784642586342
Neurosynth_TFIDF__like	0.0791313358427367
Neurosynth_TFIDF__avoid	0.0790186179830515
Neurosynth_TFIDF__young healthy	0.078920725451109
Neurosynth_TFIDF__temporal gyrus	0.0789044486189037
Neurosynth_TFIDF__insula inferior	0.0788590886717919
Neurosynth_TFIDF__primary auditory	0.0788051560878434
Neurosynth_TFIDF__issue	0.0782742763284712
Neurosynth_TFIDF__dissociate	0.0782595507734646
Neurosynth_TFIDF__superior middle	0.0780919934264402
Neurosynth_TFIDF__70	0.0780745875756134
Neurosynth_TFIDF__consistency	0.0779149560808782
Neurosynth_TFIDF__phenomena	0.0775522537131498
Neurosynth_TFIDF__double blind	0.0775522537131498
Neurosynth_TFIDF__cortices	0.0775502034569332
Neurosynth_TFIDF__functional magnetic	0.0775319076162664
Neurosynth_TFIDF__working	0.0767996847170488
Neurosynth_TFIDF__directly	0.0765270221550351
Neurosynth_TFIDF__performance task	0.076488268446873
Neurosynth_TFIDF__instructions	0.07623122227597
