feature	mean	std
Neurosynth_TFIDF__alterations	0.10034098192727621	0.045841804162747635
Neurosynth_TFIDF__performances	0.10018804527882674	0.058091927155063734
Neurosynth_TFIDF__literature	0.10004214408875227	0.06498668847881288
Neurosynth_TFIDF__tones	0.09992796192994492	0.06077025105281831
Neurosynth_TFIDF__validity	0.09987126537168217	0.0
Neurosynth_TFIDF__typically	0.0998505875528937	0.09334733464266635
Neurosynth_TFIDF__ganglia	0.09980426877460244	0.07337141357088484
Neurosynth_TFIDF__basal ganglia	0.09980426877460244	0.07337141357088484
Neurosynth_TFIDF__opportunity	0.09977667803558204	0.0
Neurosynth_TFIDF__passive viewing	0.09971998445174479	0.08565142131051771
Neurosynth_TFIDF__motor responses	0.09961327482528498	0.12186676394101113
Neurosynth_TFIDF__higher levels	0.09948795887138799	0.08870439452940346
Neurosynth_TFIDF__instructions	0.09946928895816035	0.02164952626090823
Neurosynth_TFIDF__trial trial	0.09944078525818559	0.0
Neurosynth_TFIDF__middle superior	0.09898669833082722	0.04658649238613564
Neurosynth_TFIDF__task required	0.09866847856901433	0.07007550456282034
Neurosynth_TFIDF__provide new	0.09866354398241395	0.0
Neurosynth_TFIDF__new insights	0.09866354398241395	0.0
Neurosynth_TFIDF__insights	0.09866354398241395	0.0
Neurosynth_TFIDF__gyrus ifg	0.098473608484504	0.08861664057435129
Neurosynth_TFIDF__ifg	0.098473608484504	0.08861664057435129
Neurosynth_TFIDF__planum	0.09845042607761431	0.08587573662450723
Neurosynth_TFIDF__planum temporale	0.09845042607761431	0.08587573662450723
Neurosynth_TFIDF__temporale	0.09845042607761431	0.08587573662450723
Neurosynth_TFIDF__cortex frontal	0.09840416922805559	0.047101900597758074
Neurosynth_TFIDF__inferior superior	0.09816254998526219	0.06658991913997017
Neurosynth_TFIDF__injury	0.09808004232976018	0.05345672099959625
Neurosynth_TFIDF__contains	0.0979102344792011	0.05419400751957716
Neurosynth_TFIDF__secondary	0.09787827282203843	0.0902064831534888
Neurosynth_TFIDF__unrelated	0.09757758530013382	0.09736113948756342
Neurosynth_TFIDF__great	0.09751727521902911	0.0036304765971706537
Neurosynth_TFIDF__possibility	0.09745046102134611	0.07035300392930625
Neurosynth_TFIDF__mild	0.09732884656261764	0.06738836949951359
Neurosynth_TFIDF__equally	0.09721320978610684	0.08742759919648636
Neurosynth_TFIDF__masked	0.09715364480816538	0.007325202318315571
Neurosynth_TFIDF__little known	0.09711134889077154	0.05848105191871934
Neurosynth_TFIDF__psychotic	0.09681689449429298	0.026296038509233288
Neurosynth_TFIDF__compromised	0.09667176634221128	0.0
